"firm_alias","mortgage_id","mortgage_expiry_date","mortgage_type","mortgage_state","mortgage_closed_date"
"Elderless","000c14c1-96e3-4cf6-9274-e85f756064be","2027-11-30","owner-occupied","open",""
"Elderless","000f653c-51a9-4014-9486-53fe095b37b8","2029-09-30","owner-occupied","open",""
"Elderless","001155c5-1664-43bc-b8a7-22277842830e","2026-09-28","buy-to-let","open",""
"Roast Ham","0014c286-ba00-4574-ab52-af116f2a6c78","2028-03-31","owner-occupied","open",""
"Elderless","001d4bd7-7e92-48b3-aa9a-f6a944bcfab4","2026-05-31","buy-to-let","switched","2026-03-05"
"Hidecreek","001df341-07b6-45e2-b0fb-ec7d28706f7a","2028-04-28","buy-to-let","open",""
"Roast Ham","001f55b8-3e89-4a8e-97ac-68d014d0644d","2026-08-31","owner-occupied","switched","2026-05-12"
"Elderless","0021081a-2ba6-4a20-8215-08619766e3a3","2025-06-30","buy-to-let","redeemed","2024-10-22"
"California","00218c14-e82f-4b72-b469-fac5ddf10165","2026-04-13","buy-to-let","open",""
"Elderless","0024f5a1-3fe7-4b03-b780-619e69f8700a","2027-09-04","buy-to-let","open",""
"Elderless","002f7b08-0879-4f96-a0a7-a9c902203483","2025-10-31","owner-occupied","open",""
"Elderless","00304c3c-d57d-4ed9-9b10-3f0912510c92","2027-09-19","buy-to-let","open",""
"Hidecreek","00304e92-7c12-4a8b-8f85-c3174fb9b233","2026-04-19","commercial-buy-to-let","open",""
"Roast Ham","00355a4e-9883-435c-9c17-7e5108510a3d","2027-09-30","buy-to-let","open",""
"Elderless","003583c6-f99b-41e0-afd0-c908c77712d3","2026-10-27","owner-occupied","redeemed","2026-04-10"
"Roast Ham","00358b71-560a-47a8-9999-9b1eef4b529f","2028-04-30","owner-occupied","open",""
"Elderless","0035e9c4-3ba7-4ace-b71e-150727b1730a","2031-05-11","buy-to-let","open",""
"Elderless","0038487f-a166-46c7-8493-608a57bcb433","2030-09-11","buy-to-let","open",""
"Hidecreek","0038a0d7-ddfd-440c-8d03-cc32d0dcf39b","2028-07-27","buy-to-let","open",""
"Elderless","003c3df5-4b2d-40e9-a07e-555753ec0246","2025-10-31","owner-occupied","switched","2025-09-19"
"Hidecreek","003cf027-da01-4740-a7fe-9b931872a5fc","2029-10-30","semi-commercial-buy-to-let","open",""
"Elderless","00421e44-698e-4df8-820d-b1a878712faa","2029-03-24","buy-to-let","open",""
"Elderless","00476308-0730-448f-81e3-6cae6c386452","2029-06-16","buy-to-let","open",""
"Elderless","004b94c9-aa70-41a2-87c8-2fa97cf4577b","2027-10-31","buy-to-let","open",""
"Elderless","004d7e16-5fc2-4d9c-a459-37d2c02a0690","2030-09-18","buy-to-let","open",""
"Roast Ham","005001c1-5e0f-45f9-8ee5-ec0ca28aed5a","2025-10-31","owner-occupied","redeemed","2023-11-09"
"Roast Ham","0051ba11-bf79-4084-a52b-62fb2a0109d0","2028-09-30","buy-to-let","open",""
"Elderless","0053c66e-30aa-442e-b73f-ec827da184eb","2030-12-16","buy-to-let","open",""
"Elderless","0058c2e4-3fe2-46cd-b656-a8591c15a859","2030-03-31","buy-to-let","open",""
"Elderless","005b67ad-1da9-4e15-80b0-b283f357dc4e","2025-07-01","buy-to-let","open",""
"Roast Ham","005f9a9b-7861-41b0-bbf9-79b0b7b2cf48","2025-12-31","owner-occupied","open",""
"Elderless","006082d2-0b27-493f-9a7b-debc56c25c31","2025-07-31","owner-occupied","open",""
"Roast Ham","00609f1b-8086-4a4f-bee9-85a0208384bd","2027-01-31","owner-occupied","open",""
"Roast Ham","0062fc57-17af-4f6f-a5e5-3062510bd7a1","2026-06-30","owner-occupied","open",""
"Roast Ham","006332bc-4a4f-40d8-b3e1-9559ee43de48","2029-02-28","owner-occupied","open",""
"Hidecreek","0063883e-a4fe-4c68-9798-227d41cff698","2029-01-26","buy-to-let","open",""
"Elderless","00663b06-7afc-4a2d-8416-9c7d48b38805","2028-04-30","buy-to-let","open",""
"Elderless","00686fde-439c-497f-9c77-e7d26f1ed002","2031-04-16","buy-to-let","open",""
"Roast Ham","006c047b-2980-49f8-a475-0fc552a73ef1","2028-05-31","owner-occupied","open",""
"Elderless","006c920f-e0f3-43f6-9cec-f1138b504fcf","2026-05-22","buy-to-let","open",""
"Elderless","00701fc5-15cf-478c-8cfa-c1adf8d00d63","2026-09-30","owner-occupied","open",""
"Hidecreek","0070f051-a6dd-4b0f-95d0-e40ece9a6a53","2028-07-24","buy-to-let","open",""
"Elderless","00724495-bb9a-4c28-9a51-ddf686214836","2026-11-30","buy-to-let","open",""
"Elderless","00745f1e-2ac7-4bca-a6c8-22ab5c1ee130","2025-06-30","owner-occupied","redeemed","2025-11-12"
"Elderless","0075f2a4-67f5-47c0-b98b-5477ca91ea70","2031-02-10","buy-to-let","open",""
"Elderless","00816c6e-f785-4439-a84c-75af9e2f23f6","2027-04-15","buy-to-let","open",""
"Roast Ham","0081adb9-c3c7-4a32-93b9-aa0368b46e78","2025-09-18","buy-to-let","open",""
"Roast Ham","00833bbc-071d-406d-8465-cc3d9dd3ce93","2026-06-30","owner-occupied","redeemed","2024-11-23"
"Roast Ham","00856f08-b64b-4bd5-bed9-892aa0eeab92","2027-11-30","buy-to-let","open",""
"Elderless","008b47fc-9b89-44bc-8813-063b0c8be242","2028-02-24","owner-occupied","open",""
"Hidecreek","008b7364-56e5-4cde-b98f-e2debf28ec3f","2030-07-14","commercial-buy-to-let","switched","2025-11-08"
"Elderless","0092cf87-c320-464b-947a-cee8ea468e22","2027-04-30","owner-occupied","open",""
"Roast Ham","009393e9-754f-4ee0-a6a4-a6c7224e6eb7","2026-02-28","owner-occupied","switched","2026-03-14"
"Roast Ham","0096e292-ae77-4393-8dba-04b0e6bcdd87","2025-06-30","owner-occupied","redeemed","2025-07-05"
"Elderless","0098d3c6-efe2-4c97-ad73-19a84f368d3c","2025-06-30","buy-to-let","redeemed","2024-11-30"
"Elderless","0099ba94-3cee-4e48-b060-6ed1c7f524e6","2027-10-28","buy-to-let","open",""
"Roast Ham","0099bb9f-1070-46e5-b755-45bc15f4288b","2025-11-30","owner-occupied","redeemed","2025-12-02"
"Elderless","009c5c42-b562-4586-b873-77afd2c9d461","2028-05-04","buy-to-let","open",""
"Elderless","009f1eb3-8701-4310-ac2f-6167a10d70aa","2030-02-13","buy-to-let","open",""
"Elderless","009ff3ca-c84a-4aa8-8471-938103190002","2029-04-30","owner-occupied","redeemed","2025-06-18"
"Roast Ham","00a1e579-638d-4f5d-a347-c497e2e3ddb3","2025-10-31","buy-to-let","redeemed","2025-11-06"
"Elderless","00a33288-bd61-43c3-ae3c-9ddd4ab0aa97","2030-03-31","owner-occupied","switched","2025-04-02"
"Elderless","00a37dc9-7925-4886-bdd5-225bc706bf68","2027-07-07","buy-to-let","open",""
